episode,reward,steps,epsilon,event,win_rate,food_eaten,completion_rate,elapsed_sec,q_states
268,-127.73,76,0.960594,caught,0.0,6,0.096774,2.941,16907
269,-133.52,55,0.96045,caught,0.0,4,0.064516,2.949,16949
270,-154.79,70,0.960306,caught,0.0,3,0.048387,2.958,17008
271,-152.61,68,0.960162,caught,0.0,3,0.048387,2.968,17050
272,-147.74,70,0.960018,caught,0.0,4,0.064516,2.98,17102
273,-144.81,62,0.959874,caught,0.0,4,0.064516,2.989,17135
274,-113.47,71,0.95973,caught,0.0,6,0.096774,2.998,17193
275,-134.27,68,0.959586,caught,0.0,4,0.064516,3.008,17239
276,-139.0,67,0.959442,caught,0.0,4,0.064516,3.017,17292
277,-155.16,80,0.959298,caught,0.0,3,0.048387,3.029,17347
278,-128.53,69,0.959154,caught,0.0,5,0.080645,3.039,17407
279,-163.24,66,0.959011,caught,0.0,2,0.032258,3.048,17456
280,-147.53,57,0.958867,caught,0.0,3,0.048387,3.057,17487
281,-133.15,54,0.958723,caught,0.0,4,0.064516,3.065,17534
282,-132.37,71,0.958579,caught,0.0,5,0.080645,3.076,17599
283,5.32,100,0.958435,caught,0.0,14,0.225806,3.089,17689
284,-154.55,71,0.958292,caught,0.0,2,0.032258,3.1,17727
285,-118.52,50,0.958148,caught,0.0,5,0.080645,3.106,17759
286,-128.37,57,0.958004,caught,0.0,5,0.080645,3.114,17801
287,-167.6,70,0.95786,caught,0.0,2,0.032258,3.125,17846
288,-119.14,56,0.957717,caught,0.0,6,0.096774,3.132,17891
289,-147.42,68,0.957573,caught,0.0,4,0.064516,3.142,17936
290,-102.05,64,0.957429,caught,0.0,7,0.112903,3.151,17993
291,-147.01,70,0.957286,caught,0.0,4,0.064516,3.162,18044
292,-120.73,58,0.957142,caught,0.0,5,0.080645,3.172,18087
293,-129.57,59,0.956999,caught,0.0,4,0.064516,3.18,18131
294,-119.58,80,0.956855,caught,0.0,6,0.096774,3.192,18194
295,-122.57,59,0.956712,caught,0.0,5,0.080645,3.201,18238
296,-1.84,62,0.956568,caught,0.0,7,0.112903,3.209,18295
297,-134.68,75,0.956425,caught,0.0,5,0.080645,3.22,18355
298,-163.51,59,0.956281,caught,0.0,2,0.032258,3.228,18394
299,-111.56,70,0.956138,caught,0.0,7,0.112903,3.237,18447
300,-153.32,77,0.955994,caught,0.0,3,0.048387,3.249,18483
301,-141.16,68,0.955851,caught,0.0,4,0.064516,3.259,18528
302,-73.23,143,0.955707,caught,0.0,9,0.145161,3.278,18659
303,-141.36,70,0.955564,caught,0.0,4,0.064516,3.288,18699
304,-30.94,140,0.955421,caught,0.0,13,0.209677,3.305,18813
305,-162.2,68,0.955277,caught,0.0,2,0.032258,3.315,18861
306,35.33,156,0.955134,caught,0.0,17,0.274194,3.332,18998
307,-165.33,70,0.954991,caught,0.0,2,0.032258,3.342,19034
308,-159.51,70,0.954848,caught,0.0,3,0.048387,3.352,19067
309,-154.97,75,0.954704,caught,0.0,4,0.064516,3.363,19121
310,-119.91,64,0.954561,caught,0.0,6,0.096774,3.373,19170
311,-154.45,57,0.954418,caught,0.0,2,0.032258,3.382,19203
312,-128.23,45,0.954275,caught,0.0,4,0.064516,3.39,19227
313,-123.71,61,0.954132,caught,0.0,6,0.096774,3.4,19267
314,-153.29,79,0.953989,caught,0.0,3,0.048387,3.412,19311
315,-129.81,74,0.953846,caught,0.0,5,0.080645,3.421,19364
316,-79.48,69,0.953702,caught,0.0,10,0.16129,3.43,19425
317,-158.21,64,0.953559,caught,0.0,2,0.032258,3.438,19475
318,-177.41,79,0.953416,caught,0.0,1,0.016129,3.449,19522
319,-83.75,75,0.953273,caught,0.0,9,0.145161,3.459,19581
320,-147.42,55,0.95313,caught,0.0,3,0.048387,3.467,19622
321,-178.83,72,0.952987,caught,0.0,1,0.016129,3.477,19660
322,-98.44,137,0.952844,caught,0.0,6,0.096774,3.495,19772
323,-137.62,78,0.952702,caught,0.0,5,0.080645,3.506,19831
324,-142.15,63,0.952559,caught,0.0,4,0.064516,3.515,19871
325,-163.54,82,0.952416,caught,0.0,3,0.048387,3.527,19922
326,-50.27,70,0.952273,caught,0.0,13,0.209677,3.537,19988
327,-127.74,71,0.95213,caught,0.0,6,0.096774,3.547,20034
328,-130.96,68,0.951987,caught,0.0,5,0.080645,3.556,20083
329,-5.75,73,0.951844,caught,0.0,7,0.112903,3.566,20146
330,-155.29,66,0.951702,caught,0.0,3,0.048387,3.577,20192
331,-124.67,76,0.951559,caught,0.0,5,0.080645,3.588,20240
332,-109.25,67,0.951416,caught,0.0,7,0.112903,3.599,20287
333,-135.23,70,0.951273,caught,0.0,5,0.080645,3.609,20333
334,-154.6,68,0.951131,caught,0.0,3,0.048387,3.619,20387
335,-131.57,75,0.950988,caught,0.0,5,0.080645,3.629,20441
336,-44.41,87,0.950845,caught,0.0,9,0.145161,3.639,20521
337,-156.5,56,0.950703,caught,0.0,2,0.032258,3.647,20550
338,-143.25,75,0.95056,caught,0.0,5,0.080645,3.658,20598
339,-116.11,75,0.950418,caught,0.0,6,0.096774,3.669,20660
340,-114.86,73,0.950275,caught,0.0,7,0.112903,3.678,20714
341,108.04,88,0.950132,caught,0.0,14,0.225806,3.689,20796
342,-130.02,52,0.94999,caught,0.0,4,0.064516,3.696,20835
343,-67.16,137,0.949847,caught,0.0,11,0.177419,3.716,20962
344,-138.0,63,0.949705,caught,0.0,4,0.064516,3.724,20993
345,-167.0,75,0.949563,caught,0.0,2,0.032258,3.735,21060
346,-141.29,68,0.94942,caught,0.0,3,0.048387,3.744,21104
347,-152.87,63,0.949278,caught,0.0,2,0.032258,3.752,21152
348,-139.94,62,0.949135,caught,0.0,4,0.064516,3.762,21207
349,-155.92,62,0.948993,caught,0.0,2,0.032258,3.77,21244
350,-135.89,68,0.948851,caught,0.0,5,0.080645,3.78,21297
351,-167.88,69,0.948708,caught,0.0,3,0.048387,3.79,21337
352,-132.12,78,0.948566,caught,0.0,6,0.096774,3.803,21401
353,-155.28,54,0.948424,caught,0.0,2,0.032258,3.81,21436
354,-156.06,65,0.948281,caught,0.0,3,0.048387,3.819,21475
355,-146.4,57,0.948139,caught,0.0,3,0.048387,3.827,21518
356,3.83,96,0.947997,caught,0.0,15,0.241935,3.838,21600
357,-129.43,68,0.947855,caught,0.0,5,0.080645,3.847,21645
358,-139.78,73,0.947713,caught,0.0,4,0.064516,3.857,21696
359,-138.86,50,0.94757,caught,0.0,3,0.048387,3.863,21722
360,-147.79,72,0.947428,caught,0.0,4,0.064516,3.874,21766
361,-144.68,60,0.947286,caught,0.0,3,0.048387,3.882,21812
362,-108.88,74,0.947144,caught,0.0,7,0.112903,3.895,21870
363,-39.45,140,0.947002,caught,0.0,13,0.209677,3.912,21995
364,-159.37,55,0.94686,caught,0.0,2,0.032258,3.92,22020
365,-176.0,62,0.946718,caught,0.0,1,0.016129,3.928,22058
366,-125.73,75,0.946576,caught,0.0,5,0.080645,3.939,22119
367,-181.17,53,0.946434,caught,0.0,0,0.0,3.947,22147
368,-127.74,73,0.946292,caught,0.0,5,0.080645,3.957,22202
369,-125.46,68,0.94615,caught,0.0,5,0.080645,3.966,22251
370,-131.35,57,0.946008,caught,0.0,4,0.064516,3.974,22287
371,-125.05,61,0.945866,caught,0.0,6,0.096774,3.984,22332
372,-133.64,55,0.945724,caught,0.0,4,0.064516,3.99,22366
373,-142.92,63,0.945582,caught,0.0,3,0.048387,4.001,22415
374,-142.27,70,0.945441,caught,0.0,4,0.064516,4.012,22455
375,-154.12,64,0.945299,caught,0.0,3,0.048387,4.021,22492
376,-109.63,74,0.945157,caught,0.0,7,0.112903,4.031,22558
377,-165.77,72,0.945015,caught,0.0,2,0.032258,4.041,22598
378,-123.35,66,0.944873,caught,0.0,6,0.096774,4.05,22646
379,-128.9,65,0.944732,caught,0.0,4,0.064516,4.059,22701
380,-103.73,64,0.94459,caught,0.0,7,0.112903,4.068,22753
381,-124.74,70,0.944448,caught,0.0,6,0.096774,4.077,22815
382,-118.97,54,0.944307,caught,0.0,5,0.080645,4.085,22854
383,-125.34,77,0.944165,caught,0.0,6,0.096774,4.098,22914
384,-12.71,71,0.944023,caught,0.0,7,0.112903,4.109,22971
385,-156.2,76,0.943882,caught,0.0,3,0.048387,4.12,23028
386,-148.92,61,0.94374,caught,0.0,3,0.048387,4.129,23074
387,-13.53,86,0.943599,caught,0.0,12,0.193548,4.14,23155
388,-162.85,61,0.943457,caught,0.0,2,0.032258,4.149,23196
389,70.7,92,0.943316,caught,0.0,11,0.177419,4.159,23272
390,-145.77,75,0.943174,caught,0.0,3,0.048387,4.17,23331
391,-175.2,75,0.943033,caught,0.0,2,0.032258,4.182,23373
392,-135.39,56,0.942891,caught,0.0,4,0.064516,4.19,23410
393,-48.19,67,0.94275,caught,0.0,12,0.193548,4.2,23468
394,27.29,133,0.942608,caught,0.0,17,0.274194,4.216,23585
395,-115.14,65,0.942467,caught,0.0,6,0.096774,4.225,23635
